run,test,mode,payload_bytes,app_sendto_packets,app_overdrive_packets,app_overdrive_pct,sent_packets,received_packets,lost_packets,loss_pct,loss_ci95_low_pct,loss_ci95_high_pct,udp_goodput_mbps,wire_utilization_pct,theoretical_udp_mbps,rtt_count,rtt_ok,rtt_lost,build_median_ns,build_mean_ns,build_std_ns,build_p95_ns,build_p99_ns,sendto_median_ns,sendto_mean_ns,sendto_std_ns,sendto_p95_ns,sendto_p99_ns,rtt_mean_us,rtt_std_us,rtt_median_us,rtt_p95_us,rtt_p99_us,rtt_max_us,rtt_jitter_us,fpga_rx_delta,fpga_tx_delta,iface_tx_packets_delta,iface_rx_packets_delta,iface_tx_bytes_delta,iface_rx_bytes_delta,iface_tx_errors_delta,iface_rx_errors_delta,iface_tx_dropped_delta,iface_rx_dropped_delta,iface_tx_fifo_errors_delta,iface_rx_fifo_errors_delta,iface_rx_missed_errors_delta,udp_out_datagrams_delta,udp_in_datagrams_delta,udp_in_errors_delta,udp_rcvbuf_errors_delta,udp_sndbuf_errors_delta,udp_no_ports_delta,udp_in_csum_errors_delta,ip_out_requests_delta,ip_in_receives_delta,ip_in_delivers_delta,ip_in_discards_delta,ip_out_discards_delta,ip_in_hdr_errors_delta,ip_in_addr_errors_delta,fpga_rx_flood_packets,fpga_tx_flood_packets,loopback_internal_lost,loopback_internal_loss_pct,loopback_return_lost,loopback_return_loss_pct,fpga_rx_bad_delta,fpga_tx_bad_delta,repetitions,udp_goodput_mbps_min,udp_goodput_mbps_max,udp_goodput_mbps_std,wire_utilization_pct_min,wire_utilization_pct_max,wire_utilization_pct_std,loss_pct_min,loss_pct_max,loss_pct_std,rtt_mean_us_min,rtt_mean_us_max,rtt_mean_us_std,build_mean_ns_min,build_mean_ns_max,build_mean_ns_std,sendto_mean_ns_min,sendto_mean_ns_max,sendto_mean_ns_std
aggregate,loopback,loopback,256,5689288,3735553,65.6293237617403,1953735,1940986,12749,0.6525279037675743,0.6413345546942268,0.6639153077249491,795.0275415478957,99.99955796032125,795.0310559006211,10000,10000,0,60.0,57.3019,11.763232238732858,60.0,66.66666666666667,736.6666666666666,760.5929333333333,277.9584524352136,886.6666666666666,1013.3333333333334,47.40653746666666,1.462078024550205,47.65,48.74635,49.49336666666667,84.573,0.9707218055138848,1963738,1963730,1953740,1951002,582228197,581406046,0,0,0,0,0,0,0,5699288,1950986,0,0,0,257,0,5699294,1951241,1951241,0,0,0,0,1953735,1953727,8,0.0004094721138061259,12741,0.6521211019076976,58,0,3,795.0263020988251,795.0284897000087,0.0011225151102284064,99.99940206086785,99.9996772200792,0.00014119135370320524,0.6502570265789489,0.6545274381505352,0.0021480977483168454,47.030461499999994,47.7947634,0.38229578189329505,57.1878,57.4489,0.13362301448478103,722.7278,805.3218,41.722599816566266
aggregate,loopback,loopback,512,6379374,5286552,82.80098266998786,1092823,1081309,11513,1.0535408359267753,1.0345696383823575,1.07285614263408,885.8075501019811,99.99936796073145,885.8131487889274,10000,10000,0,80.0,83.04043333333333,8.676800767926025,90.0,96.66666666666667,780.0,785.6820666666666,290.26553106947506,886.3499999999998,1080.0,60.20449733333333,1.2552217709785656,60.21666666666667,61.286350000000006,65.14003,103.58633333333333,0.8814887822115545,1102826,1102818,1092715,1091315,605376097,604594419,0,0,0,0,0,0,0,6389374,1091309,0,0,0,114,0,6389380,1091421,1091421,0,0,0,0,1092823,1092815,8,0.0007320492378320949,11505,1.0528164938238773,77,0,3,885.8070916071033,885.8081560019267,0.0005472935917449212,99.99931620095815,99.99943636115499,6.178431562111686e-05,1.052244357878381,1.0556820344640792,0.0018680389731620239,60.172359799999995,60.2278868,0.02877861072139298,82.7149,83.2956,0.296676125317376,780.868,790.6202,4.8772836306014495
aggregate,loopback,loopback,768,6276844,5516810,87.86415068656468,760034,749386,10648,1.4009681832326089,1.3748015161899163,1.4276261193821829,920.8449102623499,99.99800197380206,920.863309352518,10000,10000,0,110.0,108.5865,10.592188066222432,110.0,120.0,723.3333333333334,756.4584666666667,306.167014813964,876.6666666666666,1073.4000000000015,72.31498146666668,1.6624354134893253,72.77666666666667,73.96,75.86006333333333,134.016,0.6366726672667267,770037,770029,760335,759390,615881367,615111030,0,0,0,0,0,0,0,6286844,759386,0,0,0,77,0,6286850,759462,759462,0,0,0,0,760034,760026,8,0.0010525851891977477,10640,1.3999303328115271,65,0,3,920.8402561007359,920.8478646349347,0.004079143319534031,99.9974965609393,99.99832280019993,0.00044296946984804695,1.2870838481580908,1.4580456822754349,0.09862682011572825,71.2457689,72.85287330000001,0.9259710737259854,108.2698,108.8089,0.28164972927378795,742.6508,766.2476,12.300963383952231
aggregate,loopback,loopback,1024,5940239,5355830,90.16084284019733,584409,573365,11044,1.8897723556627675,1.8551771461286968,1.9250000408905898,939.4011321428013,99.99484707379428,939.4495412844037,10000,10000,0,130.0,133.97653333333332,19.163173923872346,140.0,146.66666666666666,753.3333333333334,772.4127,322.7068410068462,876.6666666666666,1036.6666666666667,84.0642685,1.4924378448814408,84.32933333333334,85.03635,86.86033000000002,134.15666666666667,0.6455779911324466,594412,594404,584271,583370,622837454,621878461,0,0,0,0,0,0,0,5950239,583365,0,0,0,58,0,5950245,583422,583422,0,0,0,0,584409,584401,8,0.0013689043129115532,11036,1.8884293021393772,65,0,3,939.384761358266,939.4191656889566,0.017262331091721865,99.99310448051855,99.99676666025026,0.0018374942275345058,1.886921598724142,1.8914155673048956,0.0024784193820901095,83.5367951,84.3337466,0.45684144345125544,133.8895,134.1387,0.14056643743559075,743.8468,787.9397,24.77005535944559
aggregate,loopback,loopback,1280,5907323,5432192,91.9495371395493,475131,464295,10836,2.2807026421328493,2.238638048254037,2.3235388552308707,950.8758962901234,99.99054346925828,950.9658246656761,10000,10000,0,160.0,159.36579999999998,31.718123884606836,160.0,173.33333333333334,793.3333333333334,799.8199666666667,294.56679441806875,893.3333333333334,1016.6666666666666,96.00633736666667,1.7497373406635697,96.669,97.24933333333334,98.94973666666667,143.913,0.569873354002067,485134,485126,475009,474298,627968373,627027685,0,0,0,0,0,0,0,5917323,474295,0,0,0,44,0,5917329,474339,474339,0,0,0,0,475131,475123,8,0.0016837449871699014,10828,2.279057270656597,71,0,3,950.8719449508325,950.8779632440122,0.0034231775380042344,99.99012796123597,99.99076082237818,0.0003599685129899127,2.2763101675187483,2.283728722239995,0.003893457846119664,95.5499281,96.71120140000001,0.6192222925838239,158.8995,159.6024,0.4038423826197536,784.7322,821.6851,19.386302607855207
aggregate,loopback,loopback,1440,5869277,5444359,92.75790062791867,424918,414959,9958,2.3429653103274126,2.2979855246821286,2.388806789789432,956.0661670913128,99.98858664163312,956.1752988047808,10000,10000,0,170.0,175.355,18.650034467678854,180.0,190.0,803.3333333333334,804.2692,288.636112272186,893.3333333333334,1070.033333333334,104.33997526666667,1.0493583900615682,104.33633333333333,105.28268333333332,106.83009666666668,149.279,0.6955161849518285,434921,434913,425564,424962,630687513,629799612,0,0,0,0,0,0,0,5879277,424959,0,0,0,42,0,5879283,425000,425000,0,0,0,0,424918,424910,8,0.0018827297339573277,9950,2.3411266458742763,68,0,3,956.0631027402685,956.0677126517808,0.0026538396049145857,99.98826616158642,99.98874828149873,0.00027754739200421344,1.9929239155593552,2.5197094558404824,0.30314963930677674,104.3310208,104.35757790000001,0.015245096920764369,175.1063,175.7714,0.3628801041666516,795.3943,808.8352,7.6869638095934425
aggregate,tx,random,256,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,795.0223177537696,99.99890090496633,795.0310559006211,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,60,298000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,795.0217776631591,795.0228238960475,0.0005239419635179056,99.99883297169424,99.99896456817471,6.590207508994306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregate,tx,random,512,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,885.8078390528523,99.9994005805759,885.8131487889274,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,60,554000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,885.8057790151114,885.8092312286379,0.0018204324353149172,99.99916802162781,99.99955774417046,0.00020550975539284654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregate,tx,random,768,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,920.8587292584169,99.99950263040621,920.863309352518,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,60,810000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,920.858052511765,920.8593816222599,0.0006648906436037021,99.99942913994947,99.99957347304229,7.220296833557078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregate,tx,random,1024,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,939.4473442860145,99.99976613981991,939.4495412844037,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,60,1066000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,939.4461157535898,939.4487196977138,0.0013081710099524353,99.99963536830204,99.99991254594805,0.0001392486719542577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
